sampleId	SM_TF	timePoint	IP_tag	control	peakType
AN7896_sCopy_OE_16h_HA_ChIPMix36_1	AN7896	16h	HA	NA	narrow
AN7896_sCopy_OE_16h_HA_ChIPMix36_2	AN7896	16h	HA	NA	narrow
AN7896_sCopy_OE_16h_HA_ChIPMix55_3	AN7896	16h	HA	NA	narrow
AN7896_sCopy_OE_16h_polII_ChIPMix60_1	AN7896	16h	polII	NA	NA
AN7919_mCopy_OE_16h_HA_ChIPMix17_1	AN7919	16h	HA	NA	narrow
AN7919_mCopy_OE_16h_polII_ChIPMix17_1	AN7919	16h	polII	NA	NA
AN7919_sCopy_OE_16h_HA_ChIPMix36_2	AN7919	16h	HA	NA	narrow
AN7919_sCopy_OE_16h_polII_ChIPMix60_2	AN7919	16h	polII	NA	NA
AN7921_sCopy_OE_16h_HA_ChIPMix36_1	AN7921	16h	HA	NA	narrow
AN7921_sCopy_OE_16h_HA_ChIPMix55_2	AN7921	16h	HA	NA	narrow
AN7921_sCopy_OE_16h_polII_ChIPMix55_1	AN7921	16h	polII	NA	NA
AN7921_sCopy_OE_16h_polII_ChIPMix60_2	AN7921	16h	polII	NA	NA
AN7923_sCopy_OE_16h_HA_ChIPMix55_1	AN7923	16h	HA	NA	narrow
AN7923_sCopy_OE_16h_HA_ChIPMix55_2	AN7923	16h	HA	NA	narrow
AN7923_sCopy_OE_16h_polII_ChIPMix55_1	AN7923	16h	polII	NA	NA
AN7923_sCopy_OE_16h_polII_ChIPMix60_2	AN7923	16h	polII	NA	NA
AN8111_sCopy_OE_16h_HA_ChIPMix36_1	AN8111	16h	HA	NA	narrow
AN8111_sCopy_OE_16h_HA_ChIPMix36_2	AN8111	16h	HA	NA	narrow
AN8111_sCopy_OE_16h_polII_ChIPMix60_1	AN8111	16h	polII	NA	NA
AN8111_sCopy_OE_16h_polII_ChIPMix60_2	AN8111	16h	polII	NA	NA
AN8251_sCopy_OE_16h_HA_ChIPMix36_1	AN8251	16h	HA	NA	narrow
AN8251_sCopy_OE_16h_HA_ChIPMix55_2	AN8251	16h	HA	NA	narrow
AN8251_sCopy_OE_16h_polII_ChIPMix56_1	AN8251	16h	polII	NA	NA
AN8251_sCopy_OE_16h_polII_ChIPMix60_2	AN8251	16h	polII	NA	NA
AN8391_sCopy_OE_16h_HA_ChIPMix36_1	AN8391	16h	HA	NA	narrow
AN8391_sCopy_OE_16h_HA_ChIPMix55_2	AN8391	16h	HA	NA	narrow
AN8506_mCopy_OE_16h_FLAG_ChIPMix17_1	AN8506	16h	FLAG	NA	narrow
AN8506_mCopy_OE_16h_polII_ChIPMix17_1	AN8506	16h	polII	NA	NA
AN8506_sCopy_OE_16h_FLAG_ChIPMix36_2	AN8506	16h	FLAG	NA	narrow
AN8506_sCopy_OE_16h_FLAG_ChIPMix64_3	AN8506	16h	FLAG	NA	narrow
AN8506_sCopy_OE_16h_polII_ChIPMix60_2	AN8506	16h	polII	NA	NA
AN8509_sCopy_OE_16h_HA_ChIPMix55_1	AN8509	16h	HA	NA	narrow
AN8509_sCopy_OE_16h_HA_ChIPMix55_2	AN8509	16h	HA	NA	narrow
AN8509_sCopy_OE_16h_polII_ChIPMix55_1	AN8509	16h	polII	NA	NA
AN8509_sCopy_OE_16h_polII_ChIPMix60_2	AN8509	16h	polII	NA	NA
AN8645_sCopy_OE_16h_HA_ChIPMix55_1	AN8645	16h	HA	NA	narrow
AN8645_sCopy_OE_16h_HA_ChIPMix64_2	AN8645	16h	HA	NA	narrow
AN8645_sCopy_OE_16h_polII_ChIPMix56_1	AN8645	16h	polII	NA	NA
AN8645_sCopy_OE_16h_polII_ChIPMix60_2	AN8645	16h	polII	NA	NA
AN8741_sCopy_OE_16h_HA_ChIPMix64_1	AN8741	16h	HA	NA	narrow
AN8741_sCopy_OE_16h_HA_ChIPMix64_2	AN8741	16h	HA	NA	narrow
AN8902_sCopy_OE_16h_HA_ChIPMix36_1	AN8902	16h	HA	NA	narrow
AN8902_sCopy_OE_16h_HA_ChIPMix55_2	AN8902	16h	HA	NA	narrow
AN8902_sCopy_OE_16h_polII_ChIPMix55_1	AN8902	16h	polII	NA	NA
AN8902_sCopy_OE_16h_polII_ChIPMix60_2	AN8902	16h	polII	NA	NA
